                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.61426,                0.38697,                0.84749,                0.91902,                0.92857,                  0.964,                0.74701,                0.96231,                  0.505,                0.97168,             0.00035075,             0.00035075,             0.00035075
                    112,                0.62141,                0.39486,                0.84628,                0.95885,                0.88335,                  0.964,                0.72613,                 1.0201,                0.49612,                0.99875,              0.0003425,              0.0003425,              0.0003425
                    113,                 0.6548,                 0.4071,                  0.862,                 0.9401,                0.91576,                0.97004,                 0.7121,                 1.0378,                0.48676,                 1.0014,             0.00033425,             0.00033425,             0.00033425
                    114,                0.61538,                0.37901,                0.84097,                0.98722,                0.88184,                 0.9695,                0.74148,                0.95789,                0.46948,                0.97129,               0.000326,               0.000326,               0.000326
                    115,                0.58813,                0.36766,                0.83336,                0.95961,                0.90098,                0.97722,                0.74751,                0.97672,                0.47776,                0.98146,             0.00031775,             0.00031775,             0.00031775
                    116,                0.62167,                0.39282,                0.85334,                0.90446,                0.92857,                0.94492,                0.73773,                0.91367,                0.50297,                0.94834,              0.0003095,              0.0003095,              0.0003095
                    117,                 0.6173,                0.38207,                0.85422,                0.91844,                0.92857,                0.94317,                0.73679,                0.90782,                0.50983,                0.94641,             0.00030125,             0.00030125,             0.00030125
                    118,                0.60101,                0.37073,                0.84899,                0.92419,                0.92857,                0.93375,                0.71712,                0.91654,                0.50527,                0.95059,               0.000293,               0.000293,               0.000293
                    119,                0.60446,                0.37591,                0.84109,                0.92772,                0.92857,                 0.9481,                0.75203,                0.90978,                0.50738,                0.94834,             0.00028475,             0.00028475,             0.00028475
                    120,                0.61213,                0.39109,                0.84027,                0.93817,                0.92857,                0.94995,                0.73302,                0.94435,                0.50709,                0.95716,              0.0002765,              0.0002765,              0.0002765
                    121,                0.59973,                0.37695,                0.84231,                0.92748,                0.92857,                0.94763,                0.72858,                0.96204,                0.50276,                0.96511,             0.00026825,             0.00026825,             0.00026825
                    122,                0.60389,                0.38509,                0.83475,                 0.9543,                0.92857,                0.94396,                0.71475,                0.96068,                0.50259,                0.96632,                0.00026,                0.00026,                0.00026
                    123,                0.60877,                0.39173,                0.85379,                0.95244,                0.93338,                0.94896,                0.73091,                0.94611,                0.48995,                0.96409,             0.00025175,             0.00025175,             0.00025175
                    124,                0.59298,                 0.3752,                0.84614,                0.95282,                0.93349,                0.96093,                0.74242,                0.98565,                0.47721,                0.98504,              0.0002435,              0.0002435,              0.0002435
                    125,                0.57524,                0.36327,                0.83581,                0.95195,                0.93609,                0.95486,                 0.7169,                0.97856,                0.46731,                0.98361,             0.00023525,             0.00023525,             0.00023525
                    126,                0.58154,                 0.3629,                0.83832,                0.95209,                0.93505,                0.96093,                0.73343,                0.95359,                0.47625,                0.97195,               0.000227,               0.000227,               0.000227
                    127,                0.58909,                0.37501,                0.84308,                0.95368,                0.93383,                0.96093,                0.74484,                0.95735,                0.47902,                0.97348,             0.00021875,             0.00021875,             0.00021875
                    128,                0.58829,                0.37511,                0.83689,                0.95018,                0.92857,                0.96839,                 0.7367,                0.98436,                0.48784,                0.98561,              0.0002105,              0.0002105,              0.0002105
                    129,                0.58889,                0.37059,                0.83667,                0.95502,                0.92857,                0.96839,                0.76526,                0.96402,                0.47887,                0.97229,             0.00020225,             0.00020225,             0.00020225
                    130,                0.57485,                0.36666,                0.83422,                0.94995,                0.92261,                0.97044,                0.74205,                0.93559,                0.48254,                0.96447,               0.000194,               0.000194,               0.000194
                    131,                0.56468,                0.36286,                0.84843,                0.95138,                0.92379,                0.97044,                0.75793,                0.94638,                0.49231,                0.96849,             0.00018575,             0.00018575,             0.00018575
                    132,                0.55658,                0.35199,                0.83246,                0.94865,                0.92857,                0.96766,                0.75617,                0.93396,                0.48382,                0.96047,              0.0001775,              0.0001775,              0.0001775
                    133,                0.55985,                0.36279,                0.83867,                0.95582,                0.92857,                0.97651,                0.77655,                0.90965,                0.46686,                0.95148,             0.00016925,             0.00016925,             0.00016925
                    134,                0.59136,                0.36512,                 0.8566,                0.95889,                 0.9314,                0.99062,                 0.7772,                0.92072,                0.46879,                0.95609,               0.000161,               0.000161,               0.000161
                    135,                0.56554,                0.35975,                0.84068,                0.95671,                0.92857,                0.98625,                0.76608,                0.92573,                0.46357,                0.95668,             0.00015275,             0.00015275,             0.00015275
                    136,                 0.5557,                0.35801,                0.83336,                0.95776,                0.92857,                0.98625,                0.77447,                0.92262,                0.45228,                0.95456,              0.0001445,              0.0001445,              0.0001445
                    137,                0.55424,                 0.3589,                0.82794,                0.96261,                0.93109,                0.99062,                0.78039,                0.93173,                0.45676,                0.95701,             0.00013625,             0.00013625,             0.00013625
                    138,                0.55147,                0.36396,                 0.8332,                0.96173,                0.93081,                0.98722,                0.77002,                 0.9278,                0.46474,                0.95667,               0.000128,               0.000128,               0.000128
                    139,                0.54515,                 0.3465,                0.82346,                0.95684,                0.92857,                0.98222,                0.77505,                0.90313,                0.46746,                0.94601,             0.00011975,             0.00011975,             0.00011975
                    140,                0.55265,                0.36066,                0.83649,                0.95754,                0.92857,                0.97944,                0.78343,                0.90442,                0.46618,                 0.9488,              0.0001115,              0.0001115,              0.0001115
